PARCEL,ABSTRPRD,BOOK,PAGE,RECNUM,SPRICE,DEDUCT,NETPRICE,SYEAR,SMONTH,SDAY,QUALIFIED,VERIFIED,STATUS,DISQLCD,TASP,PROPFLAG,TAXAREA,SCHDIST,CURRLND,CDISLND,IMCURRP,CURRTOT,SalesRatio,USETYPE
R0007373,100.0,,,699300,17000,0,17000,2017,7,20,Q,Y,V,,34000.0,Vacant Land,13,RE-1 SCHOOL DIST,30313,30313,0,30313,0.8915588235294117,VACANT LAND
R0008726,100.0,,,740214,500,0,500,2021,7,2,U,Y,V,1.0,500.0,Vacant Land,13,RE-1 SCHOOL DIST,20235,20235,0,20235,40.47,VACANT LAND
R0046226,100.0,,,740576,55000,0,55000,2021,7,12,Q,Y,V,,70400.0,Vacant Land,19,RE-2 SCHOOL DIST,68952,68952,0,68952,0.9794318181818182,VACANT LAND
R0013148,100.0,,,740680,44900,0,44900,2021,7,12,Q,Y,V,,57472.0,Vacant Land,37,RE-2 SCHOOL DIST,78042,78042,0,78042,1.3579134187082404,VACANT LAND
R0008358,100.0,,,738909,19500,0,19500,2021,5,28,U,Y,V,64.0,19500.0,Vacant Land,13,RE-1 SCHOOL DIST,16245,16245,0,16245,0.833076923076923,VACANT LAND
R0008840,100.0,,,738909,19500,0,19500,2021,5,28,U,Y,V,64.0,19500.0,Vacant Land,13,RE-1 SCHOOL DIST,17125,17125,0,17125,0.8782051282051282,VACANT LAND
R0009332,100.0,,,738909,19500,0,19500,2021,5,28,U,Y,V,64.0,19500.0,Vacant Land,13,RE-1 SCHOOL DIST,15012,15012,0,15012,0.7698461538461538,VACANT LAND
R0010156,100.0,,,738909,19500,0,19500,2021,5,28,U,Y,V,64.0,19500.0,Vacant Land,22,RE-2 SCHOOL DIST,16741,16741,0,16741,0.8585128205128205,VACANT LAND
R0020341,100.0,,,724542,180000,0,180000,2020,4,3,U,Y,V,64.0,180000.0,Vacant Land,40,RE-1 SCHOOL DIST,10879,10879,0,10879,0.06043888888888889,VACANT LAND
R0020353,100.0,,,724542,180000,0,180000,2020,4,3,U,Y,V,64.0,180000.0,Vacant Land,40,RE-1 SCHOOL DIST,18850,18850,0,18850,0.10472222222222222,VACANT LAND
R0020354,100.0,,,724542,180000,0,180000,2020,4,3,U,Y,V,64.0,180000.0,Vacant Land,40,RE-1 SCHOOL DIST,18850,18850,0,18850,0.10472222222222222,VACANT LAND
R0055375,100.0,,,724542,180000,0,180000,2020,4,3,U,Y,V,64.0,180000.0,Vacant Land,40,RE-1 SCHOOL DIST,9696,9696,0,9696,0.05386666666666667,VACANT LAND
R0012074,100.0,,,730393,85000,0,85000,2020,10,5,U,Y,V,661.0,85000.0,Vacant Land,37,RE-2 SCHOOL DIST,78964,78964,1409,80373,0.945564705882353,VACANT LAND
R0021352,100.0,,,730439,7500,0,7500,2020,10,7,U,Y,I,103.0,7500.0,Vacant Land,50,RE-1 SCHOOL DIST,1992,1992,211,2203,0.29373333333333335,VACANT LAND
R0013668,100.0,,,730631,54000,0,54000,2020,10,12,Q,Y,V,,83160.0,Vacant Land,30,RE-2 SCHOOL DIST,83485,83485,0,83485,1.0039081289081289,VACANT LAND
R0005842,100.0,,,730714,550000,0,550000,2020,10,14,U,Y,I,64.0,550000.0,Vacant Land,14,RE-1 SCHOOL DIST,69592,69592,0,69592,0.12653090909090908,VACANT LAND
R0023207,100.0,,,737337,125000,0,125000,2021,4,13,Q,Y,V,,216250.0,Vacant Land,60,RE-2 SCHOOL DIST,166419,166419,0,166419,0.7695676300578035,VACANT LAND
R0046979,100.0,,,739639,105000,0,105000,2021,6,18,U,Y,V,,168000.0,Vacant Land,60,RE-2 SCHOOL DIST,151297,151297,406280,557577,3.3189107142857144,VACANT LAND
R0053409,100.0,,,739827,59900,0,59900,2021,6,24,Q,Y,V,,95840.0,Vacant Land,60,RE-2 SCHOOL DIST,91359,91359,0,91359,0.9532449916527546,VACANT LAND
R0023221,100.0,,,726782,132231,0,132231,2020,6,30,Q,Y,V,,257850.45,Vacant Land,60,RE-2 SCHOOL DIST,179044,179044,0,179044,0.6943714854870332,VACANT LAND
R0005376,100.0,,,727053,7500,0,7500,2020,7,7,Q,Y,V,975.0,16575.0,Vacant Land,14,RE-1 SCHOOL DIST,19537,19537,0,19537,1.1787028657616894,VACANT LAND
R0016666,100.0,,,727548,325000,0,325000,2020,6,5,U,Y,I,17.0,325000.0,Vacant Land,37,RE-2 SCHOOL DIST,30767,30767,0,30767,0.09466769230769231,VACANT LAND
R0012786,100.0,,,736652,10000,0,10000,2021,3,31,U,Y,V,17.0,10000.0,Vacant Land,37,RE-2 SCHOOL DIST,46418,46418,0,46418,4.6418,VACANT LAND
R0010298,100.0,,,736701,13400,0,13400,2021,3,31,Q,Y,V,989.0,18894.0,Vacant Land,22,RE-2 SCHOOL DIST,17207,17207,0,17207,0.9107123954694613,VACANT LAND
R0012970,100.0,,,736765,48000,0,48000,2021,3,30,Q,Y,V,,67680.0,Vacant Land,37,RE-2 SCHOOL DIST,76432,76432,0,76432,1.1293144208037824,VACANT LAND
R0006491,100.0,,,736821,10900,0,10900,2021,2,26,Q,Y,V,989.0,17549.0,Vacant Land,13,RE-1 SCHOOL DIST,15233,15233,0,15233,0.8680266681862214,VACANT LAND
R0014679,100.0,,,736866,40000,0,40000,2021,3,15,U,Y,V,81.0,56260.0,Vacant Land,37,RE-2 SCHOOL DIST,40028,40028,0,40028,0.7114824031283328,VACANT LAND
R0008376,100.0,,,737212,37500,0,37500,2021,4,15,U,Y,V,64.0,37500.0,Vacant Land,13,RE-1 SCHOOL DIST,14386,14386,0,14386,0.38362666666666667,VACANT LAND
R0009134,100.0,,,737212,37500,0,37500,2021,4,15,U,Y,V,64.0,37500.0,Vacant Land,13,RE-1 SCHOOL DIST,15047,15047,0,15047,0.40125333333333335,VACANT LAND
R0007291,100.0,,,706108,60000,0,60000,2018,4,9,U,Y,V,64.0,60000.0,Vacant Land,13,RE-1 SCHOOL DIST,55808,55808,0,55808,0.9301333333333334,VACANT LAND
R0007292,100.0,,,706108,60000,0,60000,2018,4,9,U,Y,V,64.0,60000.0,Vacant Land,13,RE-1 SCHOOL DIST,38635,38635,0,38635,0.6439166666666667,VACANT LAND
R0007296,100.0,,,706108,60000,0,60000,2018,4,9,U,Y,V,64.0,60000.0,Vacant Land,13,RE-1 SCHOOL DIST,43794,43794,0,43794,0.7299,VACANT LAND
R0008445,100.0,,,706459,12500,0,12500,2018,4,30,Q,Y,V,975.0,27750.0,Vacant Land,13,RE-1 SCHOOL DIST,23635,23635,0,23635,0.8517117117117117,VACANT LAND
R0009769,100.0,,,742350,22000,0,22000,2021,8,31,Q,Y,V,989.0,29480.0,Vacant Land,13,RE-1 SCHOOL DIST,28636,28636,0,28636,0.971370420624152,VACANT LAND
R0008748,100.0,,,742534,8000,0,8000,2021,8,14,Q,Y,V,989.0,10720.0,Vacant Land,13,RE-1 SCHOOL DIST,15978,15978,0,15978,1.4904850746268656,VACANT LAND
R0009661,100.0,,,734986,10999,0,10999,2020,4,3,U,Y,V,989.0,10999.0,Vacant Land,13,RE-1 SCHOOL DIST,19219,19219,4161,23380,2.1256477861623786,VACANT LAND
R0023635,100.0,,,735018,95000,0,95000,2021,2,12,Q,Y,V,,177650.0,Vacant Land,62,RE-2 SCHOOL DIST,177933,177933,0,177933,1.001593019983113,VACANT LAND
R0006623,100.0,,,735604,12800,0,12800,2020,4,20,U,Y,V,989.0,12800.0,Vacant Land,13,RE-1 SCHOOL DIST,18158,18158,0,18158,1.41859375,VACANT LAND
R0019595,100.0,,,735746,260000,0,260000,2021,3,5,U,Y,I,64.0,260000.0,Vacant Land,40,RE-1 SCHOOL DIST,18610,18610,0,18610,0.07157692307692308,VACANT LAND
R0008444,100.0,,,736049,13143,0,13143,2021,3,15,Q,Y,V,989.0,20503.08,Vacant Land,13,RE-1 SCHOOL DIST,26803,26803,0,26803,1.3072670057376745,VACANT LAND
